user_input,retrieved_contexts,response,reference,semantic_similarity,answer_correctness,answer_relevancy,faithfulness,question,answer,contexts,ground_truth
Apa itu Kesehatan Jiwa?,"[""Deskripsi:\nGangguan Jiwa: Berbagai macam gangguan dengan gejala yang berbeda-beda, memiliki karakteristik kombinasi pikiran yang abnormal, emosi, persepsi, perilaku dan hubungan dengan orang lain. Kondisi kesehatan mental yang menjadi objek analisa epidemiologi. Kondisi yang berbeda dengan gangguan mental emosional, dan perlu dicegah terjadinya. Kondisi yang dapat dicegah dengan deteksi dan intervensi dini gangguan mental emosional.\nGangguan Mental Emosional: Bukan diagnosis gangguan jiwa. Dapat memengaruhi aktifitas sehari-hari yang berdampak pada menurunnya produktifitas dan kualitas hidup. Kondisi atau gangguan yang menjadi subjek utama dari 'Petunjuk Teknis Pencegahan dan Pengendalian Gangguan Mental Emosional'. Masalah kesehatan jiwa yang banyak dijumpai di Indonesia, diperkirakan diderita oleh 19 juta orang. Masalah kesehatan jiwa yang banyak terjadi di masyarakat. Suatu kondisi yang mengindikasikan seseorang mengalami perubahan psikologis yang mungkin merupakan sebuah kondisi normal, tetapi dapat juga merupakan kondisi patologis.\nKesehatan Jiwa: Bidang kesehatan yang menjadi fokus program pencegahan dan pengendalian. Kondisi di mana seorang individu dapat berkembang secara fisik, mental, spiritual, dan sosial sehingga individu tersebut menyadari kemampuan sendiri, dapat mengatasi tekanan, dapat bekerja secara produktif, dan mampu memberikan kontribusi untuk komunitasnya.\nMasalah Kesehatan Jiwa: Kondisi yang dapat dicegah melalui upaya promotif dan preventif.\nUndang-Undang No. 18 tahun 2014: Undang-Undang tentang Kesehatan Jiwa, yang mengatur upaya kesehatan jiwa.\n\nFakta:\nKesehatan Jiwa --[merupakan masalah]--> Gangguan Jiwa <--[bukanlah diagnosis]-- Gangguan Mental Emosional --[merupakan]--> Masalah Kesehatan Jiwa\nKesehatan Jiwa --[merupakan masalah]--> Gangguan Jiwa <--[merupakan masalah]-- Kesehatan Jiwa\nKesehatan Jiwa <--[menyatakan upaya]-- Undang-Undang No. 18 tahun 2014 --[menyatakan upaya]--> Kesehatan Jiwa""]","Kesehatan Jiwa adalah kondisi di mana seorang individu dapat berkembang secara fisik, mental, spiritual, dan sosial sehingga individu tersebut menyadari kemampuan sendiri, dapat mengatasi tekanan, dapat bekerja secara produktif, dan mampu memberikan kontribusi untuk komunitasnya. Ini merupakan bidang kesehatan yang menjadi fokus program pencegahan dan pengendalian.","Kesehatan Jiwa adalah kondisi di mana seseorang dapat berkembang secara fisik, mental, spiritual, dan sosial sehingga menyadari kemampuan diri, mampu mengatasi tekanan, berproduktivitas, dan berkontribusi pada komunitas mereka. Ini penting untuk kesejahteraan keseluruhan Anda.",0.9826876831064149,0.5918069714636636,0.9378793398756032,1.0,,,,
Bisakah kamu menjelaskan Gejala Gangguan Jiwa?,"[""Deskripsi:\nGME: Gangguan Mental Emosional, masih menjadi masalah kesehatan jiwa di Indonesia yang dapat memengaruhi produktivitas. Gangguan Mental Emosional, subjek dari upaya pencegahan dan pengendalian.\nGangguan Jiwa: Berbagai macam gangguan dengan gejala yang berbeda-beda, memiliki karakteristik kombinasi pikiran yang abnormal, emosi, persepsi, perilaku dan hubungan dengan orang lain. Kondisi kesehatan mental yang menjadi objek analisa epidemiologi. Kondisi yang berbeda dengan gangguan mental emosional, dan perlu dicegah terjadinya. Kondisi yang dapat dicegah dengan deteksi dan intervensi dini gangguan mental emosional.\nGangguan Mental Emosional: Bukan diagnosis gangguan jiwa. Dapat memengaruhi aktifitas sehari-hari yang berdampak pada menurunnya produktifitas dan kualitas hidup. Kondisi atau gangguan yang menjadi subjek utama dari 'Petunjuk Teknis Pencegahan dan Pengendalian Gangguan Mental Emosional'. Masalah kesehatan jiwa yang banyak dijumpai di Indonesia, diperkirakan diderita oleh 19 juta orang. Masalah kesehatan jiwa yang banyak terjadi di masyarakat. Suatu kondisi yang mengindikasikan seseorang mengalami perubahan psikologis yang mungkin merupakan sebuah kondisi normal, tetapi dapat juga merupakan kondisi patologis.\nPemeriksaan Lanjutan Multidisplin: Proses evaluasi diagnostik yang melibatkan berbagai disiplin ilmu.\nUpaya Promosi Kesehatan: Kegiatan terintegrasi untuk mencegah dan mengendalikan GME, termasuk promosi kesehatan sesuai alur layanan GME dan promosi kesehatan yang lebih luas. Upaya yang diperlukan untuk mencegah gangguan mental emosional.\ndiagnosis gangguan jiwa: Penentuan kondisi gangguan mental setelah pemeriksaan lanjutan, yang akan mengarah pada tata laksana multidisiplin.\nwawancara psikiatrik: Pemeriksaan lanjutan yang dilakukan oleh tim multidisiplin untuk menentukan diagnosis gangguan jiwa. Wawancara yang dilakukan oleh dokter untuk mendapatkan data dan menetapkan diagnosis gangguan jiwa.\n\nFakta:\nGangguan Jiwa <--[bukanlah diagnosis]-- Gangguan Mental Emosional <--[mencegah]-- Upaya Promosi Kesehatan --[mencegah dan pengendalian]--> GME <--[menentukan diagnosis]-- Pemeriksaan Lanjutan Multidisplin <--[adalah bentuk dari]-- wawancara psikiatrik --[menentukan]--> diagnosis gangguan jiwa""]","Gangguan Jiwa adalah berbagai macam gangguan yang memiliki gejala yang berbeda-beda. Namun, secara umum, Gangguan Jiwa dapat memiliki karakteristik berupa kombinasi dari:

*   Pikiran yang abnormal
*   Emosi yang abnormal
*   Persepsi yang abnormal
*   Perilaku yang abnormal
*   Hubungan yang tidak wajar dengan orang lain

Untuk menentukan diagnosis Gangguan Jiwa secara spesifik, diperlukan pemeriksaan lanjutan multidisiplin yang melibatkan wawancara psikiatrik.","Gejala Gangguan Jiwa mencakup kombinasi pikiran yang abnormal, emosi atau perasaan yang tidak biasa, perubahan persepsi, perilaku, serta kesulitan dalam hubungan dengan orang lain. Mengetahui gejala ini dapat membantu Anda memahami kondisi diri atau orang terdekat.",0.9436171125462851,0.8192376114699047,0.9170278495453105,1.0,,,,
Apa yang dimaksud dengan Faktor Psikologis?,"['Deskripsi:\nFaktor Psikologis: Faktor yang berkontribusi terhadap terjadinya gangguan jiwa, seperti kegagalan, kekecewaan, dan trauma yang mengakibatkan stres.\nFaktor Psikologis (Risiko): Faktor psikologis yang meningkatkan risiko GME, seperti regulasi emosi rendah, regulasi diri rendah, konsep diri negatif, efikasi diri rendah, resiliensi diri rendah.\nManajemen Stres: Keterampilan atau teknik untuk mengatasi dan mengelola stres. Teknik untuk mengatasi stres, membuat stres menurun, dan meningkatkan kualitas hidup.\nRegulasi Diri Rendah: Kurangnya kemampuan untuk mengontrol perilaku, pikiran, dan emosi.\nResiliensi Diri Rendah: Kurangnya kemampuan untuk pulih atau beradaptasi setelah menghadapi kesulitan atau trauma. Salah satu faktor risiko GME.\nStres: Dampak psikologis umum yang terjadi selama pandemi, yang penting untuk dikelola.\n\nFakta:\nFaktor Psikologis --[mengakibatkan]--> Stres <--[mengatasi]-- Manajemen Stres --[melatih]--> Regulasi Diri Rendah --[adalah jenis dari]--> Faktor Psikologis (Risiko)\nFaktor Psikologis --[mengakibatkan]--> Stres <--[mengatasi]-- Manajemen Stres --[melatih]--> Resiliensi Diri Rendah --[adalah jenis dari]--> Faktor Psikologis (Risiko)']","Faktor psikologis adalah faktor yang berkontribusi terhadap terjadinya gangguan jiwa, seperti kegagalan, kekecewaan, dan trauma yang mengakibatkan stres. Contoh lain dari faktor psikologis yang meningkatkan risiko gangguan mental emosional (GME) adalah regulasi emosi rendah, regulasi diri rendah, konsep diri negatif, efikasi diri rendah, dan resiliensi diri rendah.","Faktor Psikologis meliputi hal-hal seperti kegagalan, kekecewaan, atau trauma yang dapat menimbulkan stres. Kondisi ini berperan penting dalam meningkatkan risiko gangguan jiwa jika tidak ditangani dengan tepat.",0.958157448717081,0.23954463045443192,0.895695500541629,1.0,,,,
Apa saja contoh Faktor Biologis?,"[""Deskripsi:\nFaktor Biologis: Faktor yang berkontribusi terhadap terjadinya gangguan jiwa, seperti genetik, gizi, dan infeksi perinatal.\nFaktor Biologis (Risiko): Faktor biologis yang meningkatkan risiko GME, seperti riwayat kesehatan jiwa keluarga, kerentanan genetik, luka jejas otak, permasalahan neurologis.\nGME: Gangguan Mental Emosional, masih menjadi masalah kesehatan jiwa di Indonesia yang dapat memengaruhi produktivitas. Gangguan Mental Emosional, subjek dari upaya pencegahan dan pengendalian.\nGangguan Jiwa: Berbagai macam gangguan dengan gejala yang berbeda-beda, memiliki karakteristik kombinasi pikiran yang abnormal, emosi, persepsi, perilaku dan hubungan dengan orang lain. Kondisi kesehatan mental yang menjadi objek analisa epidemiologi. Kondisi yang berbeda dengan gangguan mental emosional, dan perlu dicegah terjadinya. Kondisi yang dapat dicegah dengan deteksi dan intervensi dini gangguan mental emosional.\nGangguan Mental Emosional: Bukan diagnosis gangguan jiwa. Dapat memengaruhi aktifitas sehari-hari yang berdampak pada menurunnya produktifitas dan kualitas hidup. Kondisi atau gangguan yang menjadi subjek utama dari 'Petunjuk Teknis Pencegahan dan Pengendalian Gangguan Mental Emosional'. Masalah kesehatan jiwa yang banyak dijumpai di Indonesia, diperkirakan diderita oleh 19 juta orang. Masalah kesehatan jiwa yang banyak terjadi di masyarakat. Suatu kondisi yang mengindikasikan seseorang mengalami perubahan psikologis yang mungkin merupakan sebuah kondisi normal, tetapi dapat juga merupakan kondisi patologis.\nUpaya Promosi Kesehatan: Kegiatan terintegrasi untuk mencegah dan mengendalikan GME, termasuk promosi kesehatan sesuai alur layanan GME dan promosi kesehatan yang lebih luas. Upaya yang diperlukan untuk mencegah gangguan mental emosional.\n\nFakta:\nFaktor Biologis --[berkontribusi terhadap]--> Gangguan Jiwa <--[bukanlah diagnosis]-- Gangguan Mental Emosional <--[mencegah]-- Upaya Promosi Kesehatan --[mencegah dan pengendalian]--> GME <--[menjadi faktor risiko]-- Faktor Biologis (Risiko)""]","Contoh faktor biologis yang berkontribusi terhadap terjadinya gangguan jiwa antara lain genetik, gizi, dan infeksi perinatal.","Faktor Biologis mencakup aspek genetik, status gizi, dan kemungkinan infeksi perinatal. Elemen-elemen ini dapat memengaruhi kerentanan seseorang terhadap gangguan jiwa.",0.9505474690294746,0.8805240599636536,0.8879085174656273,1.0,,,,
Apa itu Stres?,"['Deskripsi:\nFaktor Psikologis: Faktor yang berkontribusi terhadap terjadinya gangguan jiwa, seperti kegagalan, kekecewaan, dan trauma yang mengakibatkan stres.\nManajemen Stres: Keterampilan atau teknik untuk mengatasi dan mengelola stres. Teknik untuk mengatasi stres, membuat stres menurun, dan meningkatkan kualitas hidup.\nStres: Salah satu masalah kesehatan mental yang dapat dibantu dikelola oleh Chatbot Lintang.\nSumber-sumber Stres: Penyebab stres yang bervariasi tergantung kelompok usia.\n\nFakta:\nStres <--[mengakibatkan]-- Faktor Psikologis --[mengakibatkan]--> Stres\nStres <--[mengatasi]-- Manajemen Stres --[mengatasi]--> Stres\nStres <--[menyebabkan]-- Sumber-sumber Stres --[menyebabkan]--> Stres']","Stres adalah salah satu masalah kesehatan mental. Stres bisa diakibatkan oleh faktor psikologis seperti kegagalan, kekecewaan, dan trauma. Sumber-sumber stres bervariasi tergantung kelompok usia. Stres dapat dikelola dengan teknik atau keterampilan manajemen stres.","Stres adalah kondisi tertekan atau terancam yang dialami seseorang, seringkali sebagai respons terhadap tekanan psikologis seperti kegagalan atau trauma. Memahami stres membantu Anda mencari cara mengelolanya.",0.9452717815689302,0.5892591218628207,0.8973807579869263,1.0,,,,
Siapa yang disebut Orang Dengan Masalah Kejiwaan (ODMK)?,[''],"Orang Dengan Masalah Kejiwaan (ODMK) adalah istilah umum yang merujuk pada individu yang sedang mengalami kesulitan atau gangguan terkait kesehatan mental mereka. Ini bisa mencakup berbagai kondisi, mulai dari stres dan kecemasan ringan yang sementara, masalah emosional, hingga kondisi psikologis yang lebih kompleks yang dapat memengaruhi pikiran, perasaan, suasana hati, dan perilaku seseorang.

Istilah ODMK lebih luas daripada ""Orang Dengan Gangguan Jiwa (ODGJ)"", di mana ODGJ umumnya merujuk pada individu dengan diagnosis klinis gangguan mental yang lebih serius dan persisten. ODMK mencakup spektrum yang lebih lebar dari pengalaman kesehatan mental, termasuk yang mungkin tidak memenuhi kriteria diagnosis klinis namun tetap menyebabkan penderitaan atau kesulitan dalam fungsi sehari-hari.","Orang Dengan Masalah Kejiwaan adalah individu yang mengalami gangguan mental emosional dan memiliki masalah fisik, mental, sosial, pertumbuhan, atau kualitas hidup yang memberikan risiko gangguan jiwa lebih tinggi.",0.916635051907095,0.22915240304832357,0.9736907425017772,1.0,,,,
Apa itu SKRT 1995?,"[""Deskripsi:\nBadan Litbangkes Kemenkes RI: Badan Penelitian dan Pengembangan Kesehatan di bawah Kementerian Kesehatan RI yang menerbitkan laporan survei dan Riskesdas.\nGangguan Mental Emosional: Bukan diagnosis gangguan jiwa. Dapat memengaruhi aktifitas sehari-hari yang berdampak pada menurunnya produktifitas dan kualitas hidup. Kondisi atau gangguan yang menjadi subjek utama dari 'Petunjuk Teknis Pencegahan dan Pengendalian Gangguan Mental Emosional'. Masalah kesehatan jiwa yang banyak dijumpai di Indonesia, diperkirakan diderita oleh 19 juta orang. Masalah kesehatan jiwa yang banyak terjadi di masyarakat. Suatu kondisi yang mengindikasikan seseorang mengalami perubahan psikologis yang mungkin merupakan sebuah kondisi normal, tetapi dapat juga merupakan kondisi patologis.\nKementerian Kesehatan RI: Kementerian Pemerintah Republik Indonesia yang bertanggung jawab atas urusan kesehatan dan penerbit Petunjuk Teknis Pencegahan dan Pengendalian Gangguan Mental Emosional. Kementerian yang menerbitkan berbagai pedoman dan modul pelatihan terkait kesehatan jiwa di Indonesia.\nPetunjuk Teknis Pencegahan dan Pengendalian Gangguan Mental Emosional: Panduan teknis untuk upaya pencegahan dan pengendalian gangguan mental emosional. Sebuah buku petunjuk teknis yang diterbitkan oleh Kementerian Kesehatan RI, membahas pencegahan dan pengendalian gangguan mental emosional.\nPrevalensi Gangguan Mental Emosional (SKRT 1995): 140 per 1000 penduduk (14%) berdasarkan SKRT 1995.\nSKRT 1995: Survei Kesehatan Rumah Tangga tahun 1995, yang menggunakan istilah gangguan mental emosional.\nSurvei Kesehatan Rumah Tangga 1995: Laporan survei yang diterbitkan oleh Badan Litbangkes Kemenkes RI pada tahun 1995 di Jakarta.\n\nFakta:\nPrevalensi Gangguan Mental Emosional (SKRT 1995) --[berdasarkan]--> SKRT 1995 <--[mengacu pada istilah yang digunakan pada]-- Gangguan Mental Emosional <--[untuk Pencegahan dan Pengendalian]-- Petunjuk Teknis Pencegahan dan Pengendalian Gangguan Mental Emosional --[Diterbitkan Oleh]--> Kementerian Kesehatan RI <--[bagian dari]-- Badan Litbangkes Kemenkes RI <--[diterbitkan oleh]-- Survei Kesehatan Rumah Tangga 1995\nSKRT 1995 <--[berdasarkan]-- Prevalensi Gangguan Mental Emosional (SKRT 1995)\nSKRT 1995 <--[mengacu pada istilah yang digunakan pada]-- Gangguan Mental Emosional <--[untuk Pencegahan dan Pengendalian]-- Petunjuk Teknis Pencegahan dan Pengendalian Gangguan Mental Emosional --[Diterbitkan Oleh]--> Kementerian Kesehatan RI <--[bagian dari]-- Badan Litbangkes Kemenkes RI <--[diterbitkan oleh]-- Survei Kesehatan Rumah Tangga 1995""]","SKRT 1995 adalah singkatan dari Survei Kesehatan Rumah Tangga tahun 1995. Survei ini merupakan laporan yang diterbitkan oleh Badan Litbangkes Kemenkes RI pada tahun 1995 di Jakarta, dan menggunakan istilah gangguan mental emosional.",SKRT 1995 adalah Survei Kesehatan Rumah Tangga tahun 1995 yang menggunakan istilah gangguan mental emosional untuk mengukur kondisi kesehatan jiwa penduduk pada masa itu.,0.9780281657264438,0.49446817358357187,0.9626607457546559,1.0,,,,
Apa tujuan Self Reporting Questionnaire (SRQ)?,"['Deskripsi:\nGME: Gangguan Mental Emosional, masih menjadi masalah kesehatan jiwa di Indonesia yang dapat memengaruhi produktivitas. Gangguan Mental Emosional, subjek dari upaya pencegahan dan pengendalian.\nPenderita GME: Individu yang didiagnosis atau menunjukkan gejala Gangguan Mental Emosional. Penduduk berusia lebih dari 15 tahun yang terdeteksi memiliki gangguan mental emosional berdasarkan hasil deteksi dini dengan instrumen SRQ 20 atau SDQ dan mendapatkan layanan kesehatan.\nSDQ: Alat ukur deteksi dini untuk GME. Instrumen deteksi dini (Strength and Difficulties Questionnaire) untuk penderita GME usia 15-18 tahun, dengan hasil ambang atau abnormal.\nSRQ 20: Instrumen deteksi dini (Self Reporting Questionnaire 20) untuk penderita GME usia lebih dari 18 tahun, dengan cut off point lebih dari 6. Instrumen skrining GME.\nSRQ-20: Alat ukur deteksi dini untuk GME.\nTenaga Lain yang Dilatih: Individu selain tenaga kesehatan formal yang telah dilatih untuk menganalisa hasil deteksi dini.\nTenaga kesehatan: Individu profesional yang dapat melakukan deteksi dini GME. Individu yang memiliki kualifikasi dan kompetensi dalam bidang kesehatan, seperti dokter, perawat, psikolog klinis, tenaga kesmas. Individu yang mendapat tugas sebagai pemegang program kesehatan jiwa di Dinas Kesehatan dan/atau puskesmas. Pihak yang menjadi acuan dalam Buku Petunjuk Teknis, bekerja di dinas kesehatan dan fasilitas pelayanan kesehatan primer. Sasaran pengguna petunjuk teknis ini.\ndeteksi dini GME: Proses penemuan kasus GME melalui skrining menggunakan instrumen SDQ atau SRQ 20.\n\nFakta:\nSRQ 20 <--[dideteksi dini menggunakan]-- Penderita GME --[didapatkan melalui]--> deteksi dini GME <--[melakukan]-- Tenaga kesehatan --[menganalisa hasil pengisian]--> SRQ-20\nSRQ 20 <--[dideteksi dini menggunakan]-- Penderita GME --[dideteksi dini menggunakan]--> SDQ <--[deteksi dilakukan dengan alat ukur]-- GME --[deteksi dilakukan dengan alat ukur]--> SRQ-20\nSRQ 20 <--[dideteksi dini menggunakan]-- Penderita GME --[dideteksi dini menggunakan]--> SDQ <--[menganalisa hasil pengisian]-- Tenaga Lain yang Dilatih --[menganalisa hasil pengisian]--> SRQ-20\nSRQ 20 <--[dideteksi dini menggunakan]-- Penderita GME --[dideteksi dini menggunakan]--> SDQ <--[menganalisa hasil pengisian]-- Tenaga kesehatan --[menganalisa hasil pengisian]--> SRQ-20']","Tujuan Self Reporting Questionnaire (SRQ), khususnya SRQ 20, adalah sebagai instrumen atau alat ukur deteksi dini dan skrining untuk Gangguan Mental Emosional (GME), terutama untuk penderita berusia lebih dari 18 tahun.",Self Reporting Questionnaire (SRQ) adalah alat ukur yang digunakan pertama kali dalam Survei Kesehatan Jiwa Penduduk Indonesia untuk mendeteksi adanya gangguan mental emosional pada responden.,0.9481569058900411,0.23703922647251027,0.969286996704275,1.0,,,,
Apa itu Prevalensi Gangguan Mental Emosional (Riskesdas 2018)?,[''],"Saya tidak memiliki informasi spesifik mengenai Prevalensi Gangguan Mental Emosional (Riskesdas 2018) dari knowledge yang diberikan.

Secara umum, prevalensi mengacu pada proporsi kasus suatu kondisi (dalam hal ini, gangguan mental emosional) dalam suatu populasi tertentu pada periode waktu tertentu. Riskesdas (Riset Kesehatan Dasar) 2018 adalah survei kesehatan nasional di Indonesia yang mengumpulkan data tentang berbagai indikator kesehatan, termasuk kesehatan mental.

Untuk angka spesifik dari Riskesdas 2018, saya membutuhkan data atau informasi lebih lanjut.","Prevalensi Gangguan Mental Emosional menurut Riskesdas 2018 adalah 9,8% dari populasi penduduk Indonesia, menunjukkan hampir sepuluh dari seratus orang mengalami tanda-tanda distress psikologik.",0.9232274552170294,0.23079622052188678,0.0,0.0,,,,
Apa itu Bonus Demografi Indonesia (2030-2040)?,"[""Deskripsi:\nGangguan Mental Emosional: Bukan diagnosis gangguan jiwa. Dapat memengaruhi aktifitas sehari-hari yang berdampak pada menurunnya produktifitas dan kualitas hidup. Kondisi atau gangguan yang menjadi subjek utama dari 'Petunjuk Teknis Pencegahan dan Pengendalian Gangguan Mental Emosional'. Masalah kesehatan jiwa yang banyak dijumpai di Indonesia, diperkirakan diderita oleh 19 juta orang. Masalah kesehatan jiwa yang banyak terjadi di masyarakat. Suatu kondisi yang mengindikasikan seseorang mengalami perubahan psikologis yang mungkin merupakan sebuah kondisi normal, tetapi dapat juga merupakan kondisi patologis.\nIndonesia: Negara di mana gangguan mental emosional banyak dijumpai.\nJakarta: Lokasi penerbitan panduan.\nKeluarga: Unit sosial dasar yang berperan penting sebagai pendukung utama kesehatan jiwa.\nMasyarakat Indonesia: Target pembaca panduan ini.\nPanduan Kesehatan Jiwa pada Masa Pandemi COVID-19: Panduan yang menekankan peran keluarga sebagai pendukung utama kesehatan jiwa selama masa Pandemi COVID-19.\nPetunjuk Teknis Pencegahan dan Pengendalian Gangguan Mental Emosional: Panduan teknis untuk upaya pencegahan dan pengendalian gangguan mental emosional. Sebuah buku petunjuk teknis yang diterbitkan oleh Kementerian Kesehatan RI, membahas pencegahan dan pengendalian gangguan mental emosional.\nUpaya Promosi Kesehatan: Kegiatan terintegrasi untuk mencegah dan mengendalikan GME, termasuk promosi kesehatan sesuai alur layanan GME dan promosi kesehatan yang lebih luas. Upaya yang diperlukan untuk mencegah gangguan mental emosional.\n\nFakta:\nIndonesia <--[dijumpai di]-- Gangguan Mental Emosional <--[mencegah]-- Upaya Promosi Kesehatan --[dilaksanakan di]--> Keluarga <--[menekankan peran]-- Panduan Kesehatan Jiwa pada Masa Pandemi COVID-19 --[sumber informasi bagi]--> Masyarakat Indonesia\nIndonesia <--[dijumpai di]-- Gangguan Mental Emosional <--[untuk Pencegahan dan Pengendalian]-- Petunjuk Teknis Pencegahan dan Pengendalian Gangguan Mental Emosional --[diterbitkan di]--> Jakarta <--[diterbitkan di]-- Panduan Kesehatan Jiwa pada Masa Pandemi COVID-19 --[sumber informasi bagi]--> Masyarakat Indonesia""]","Mohon maaf, informasi mengenai Bonus Demografi Indonesia (2030-2040) tidak tersedia dalam knowledge yang diberikan. Knowledge yang ada berfokus pada Gangguan Mental Emosional dan upaya pencegahannya di Indonesia.","Bonus Demografi Indonesia 2030–2040 adalah periode di mana penduduk usia produktif (15–64 tahun) diproyeksikan menjadi 64% dari total 297 juta jiwa, potensi besar untuk pembangunan jika didukung kesehatan jiwa yang baik.",0.8926668834551952,0.22318673056907523,0.0,1.0,,,,
